layer,p
0,1.1297477128994274e-18
1,0.0013066281597795232
2,0.0012957575672771782
3,0.0011288048460430997
4,0.0010882296306330577
5,0.000914446433723372
6,0.0010814941560965963
7,0.0013545795315751871
8,0.002041407995420741
9,0.0018568689431828847
10,0.0021702128007226357
11,0.003183379744898827
12,0.003864607237898911
13,0.0034715818754713318
14,0.004662081114864642
15,0.010634141508489847
16,0.01541572011462579
17,0.012418176974668833
18,0.012381742841431074
19,0.013492915608886895
20,0.012200200601780255
21,0.01856064701496507
22,0.03674335783190535
23,0.04716338138678111
24,0.04756115914954405
25,0.05383324196061169
26,0.03659465937172562
27,0.06222096351328738
28,0.11040240453413779
29,0.15105210347422013
30,0.16904934939079144
31,0.2873969003347026
32,0.3157002316204723
33,0.3070139091128762
34,0.32098815083502685
35,0.3312530034678015
36,0.3151742660408153
37,0.32123455815371926
38,0.33195428023145723
39,0.3278265245790927
40,0.3184332458566002
41,0.3222430711929779
42,0.31225789023437756
43,0.3143451823686649
44,0.3021425883167857
45,0.27982099914697756
46,0.21648423272927175
47,0.17111872587962093
48,0.26561438900637313
