layer,p
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0024476191798125263
7,0.015538096278240638
8,0.010990476618254823
9,0.008357143428708826
10,0.0031428573919194086
11,0.00042857143229671886
12,0.006714285883520331
13,0.006285714650792735
14,0.04933333529541934
15,0.05656190643951829
16,0.06062381306713048
17,0.08171905404222864
18,0.08511905328902815
19,0.08694286258625132
20,0.08402381416609776
21,0.09026667063257524
22,0.10033810071347814
23,0.11276191086342026
24,0.1191142931680328
25,0.11248095905674356
26,0.14664286680220226
27,0.23562858210477447
28,0.2935143003705889
29,0.3195571597066841
30,0.34364287154416423
31,0.3622904929132866
32,0.36733335346382645
33,0.3691666818756078
34,0.37386668167476145
35,0.38259049584822996
36,0.3851381167769432
37,0.39109050056764055
38,0.39828573699508396
39,0.4008428741778646
40,0.40361907120261875
41,0.411119068307536
42,0.41102382860013414
43,0.4115333557128906
44,0.40925240197352003
45,0.41219525039196014
46,0.3961000144481659
47,0.39973811485937666
48,0.39437144675425123
