layer,p
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0024571429884027956
7,0.015176191593387298
8,0.01140000024211726
9,0.008571428912026542
10,0.0035000001745564596
11,0.0005000000154333455
12,0.006785714466656957
13,0.006428571684019906
14,0.04997143183468974
15,0.05690952728036791
16,0.06026190758400064
17,0.08160476586116212
18,0.08532857635457601
19,0.08684762460844857
20,0.08445238681243998
21,0.09219524317554065
22,0.1062476243657459
23,0.12182857847905584
24,0.13026191053047245
25,0.12895238864335365
26,0.1672047711243587
27,0.2655381068055119
28,0.3253952520234244
29,0.3586285880633763
30,0.38756668883641915
31,0.3959952564577439
32,0.4070428759524865
33,0.4127000145215009
34,0.4175095450399177
35,0.42348573356866837
36,0.4289571685450418
37,0.43808573484420776
38,0.4440190717577934
39,0.45274763235024046
40,0.45274764725140165
41,0.46460954419204165
42,0.4695619259561811
43,0.47464764756815775
44,0.48223811388015747
45,0.49406669608184267
46,0.496119071330343
47,0.49654288377080646
48,0.4901714559112276
