layer,p
0,0.19275
1,0.30800003
2,0.43400002
3,0.44200003
4,0.44700003
5,0.38500002
6,0.37600002
7,0.365
8,0.36
9,0.29900002
10,0.317
11,0.319
12,0.35900003
13,0.374
14,0.372
15,0.37800002
16,0.365
17,0.36200002
18,0.38700002
19,0.386
20,0.46100003
21,0.42700002
22,0.42100003
23,0.43600002
24,0.43800002
25,0.44000003
26,0.52400005
27,0.57900006
28,0.574
29,0.586
30,0.60200006
31,0.59000003
32,0.61
33,0.62200004
34,0.605
35,0.60700005
36,0.56700003
37,0.57900006
38,0.58100003
39,0.596
40,0.59000003
41,0.59300005
42,0.58400005
43,0.601
44,0.611
45,0.62100005
46,0.60700005
47,0.60300004
48,0.564
