layer,p
0,0.34539474959352184
1,0.38961430319717955
2,0.41047144894089016
3,0.4130190685391426
4,0.42459526125873837
5,0.4138333520718983
6,0.4126333551747458
7,0.40270954583372387
8,0.40209526462214334
9,0.3935666871922357
10,0.40105238769735607
11,0.4025238315973963
12,0.4085571563669613
13,0.4196095455970083
14,0.424642875790596
15,0.4252857342362404
16,0.42685716173478533
17,0.4172714427113533
18,0.4164190654243742
19,0.4147095318351473
20,0.43040954215185984
21,0.41987143776246477
22,0.4127000133906092
23,0.40971905631678446
24,0.4076381102204323
25,0.43273335482392994
26,0.44038573652505875
27,0.46161906527621405
28,0.4727428864155497
29,0.4733143076300621
30,0.4713119257773672
31,0.46617382764816284
32,0.4646619302885873
33,0.4635024145245552
34,0.46376430669001173
35,0.4618238349046026
36,0.46116193383932114
37,0.46390955788748606
38,0.4677143096923828
39,0.4649857357144356
40,0.4656666943005153
41,0.4640905058809689
42,0.4622619301080704
43,0.464885732957295
44,0.4621381110378674
45,0.46041430639369146
46,0.45652381650039126
47,0.45414287809814724
48,0.4480190692203386
