layer,p
0,0.026642857
1,0.148
2,0.26900002
3,0.264
4,0.28800002
5,0.23700002
6,0.21200001
7,0.171
8,0.141
9,0.135
10,0.126
11,0.119
12,0.141
13,0.149
14,0.155
15,0.16600001
16,0.163
17,0.163
18,0.16900001
19,0.164
20,0.282
21,0.272
22,0.201
23,0.24000001
24,0.22600001
25,0.31100002
26,0.29700002
27,0.46400002
28,0.44400004
29,0.45800003
30,0.39800003
31,0.39800003
32,0.404
33,0.40300003
34,0.393
35,0.36200002
36,0.379
37,0.35200003
38,0.354
39,0.35300002
40,0.37300003
41,0.37
42,0.37600002
43,0.37600002
44,0.34
45,0.32500002
46,0.305
47,0.29700002
48,0.28100002
