layer,p
0,0.49800003
1,0.532
2,0.49400002
3,0.504
4,0.514
5,0.514
6,0.504
7,0.50600004
8,0.50200003
9,0.48000002
10,0.476
11,0.47400004
12,0.476
13,0.47200003
14,0.46800002
15,0.48400003
16,0.47800002
17,0.46800002
18,0.46800002
19,0.46600002
20,0.45800003
21,0.448
22,0.45600003
23,0.47000003
24,0.48800004
25,0.49400002
26,0.48800004
27,0.492
28,0.49800003
29,0.49300003
30,0.4805
31,0.4805
32,0.46300003
33,0.45850003
34,0.46150002
35,0.46600002
36,0.47000003
37,0.48200002
38,0.48600003
39,0.48000002
40,0.48400003
41,0.48600003
42,0.47400004
43,0.48000002
44,0.48400003
45,0.47200003
46,0.46
47,0.45200002
48,0.45800003
