layer,p
0,0.3333334
1,0.416
2,0.39600003
3,0.40333337
4,0.44933337
5,0.44233337
6,0.453
7,0.45033336
8,0.43733338
9,0.43533334
10,0.45933333
11,0.46733338
12,0.45333335
13,0.5366667
14,0.5556666
15,0.5733333
16,0.57433337
17,0.56733334
18,0.531
19,0.578
20,0.59533334
21,0.5693334
22,0.5503333
23,0.5276666
24,0.47433335
25,0.58433336
26,0.6096667
27,0.6433334
28,0.6993334
29,0.683
30,0.6826667
31,0.666
32,0.66200006
33,0.6583334
34,0.65000004
35,0.6436667
36,0.637
37,0.65000004
38,0.65800005
39,0.651
40,0.64566666
41,0.6463334
42,0.6496667
43,0.65033334
44,0.6463334
45,0.63900006
46,0.61866665
47,0.61300004
48,0.59733343
