layer,p
0,0.41750002
1,0.521
2,0.503
3,0.49300003
4,0.497
5,0.507
6,0.48900002
7,0.507
8,0.47900003
9,0.483
10,0.509
11,0.505
12,0.48700002
13,0.513
14,0.51900005
15,0.53900003
16,0.53300005
17,0.531
18,0.517
19,0.497
20,0.49100003
21,0.467
22,0.499
23,0.497
24,0.48900002
25,0.503
26,0.509
27,0.51500005
28,0.531
29,0.531
30,0.54300004
31,0.535
32,0.52500004
33,0.53300005
34,0.531
35,0.531
36,0.527
37,0.53300005
38,0.54300004
39,0.54300004
40,0.54300004
41,0.545
42,0.54300004
43,0.541
44,0.535
45,0.53300005
46,0.535
47,0.531
48,0.531
