layer,p
0,0.347
1,0.37666667
2,0.37
3,0.35300002
4,0.3646667
5,0.34733337
6,0.35500002
7,0.35700002
8,0.36533335
9,0.36133334
10,0.35533336
11,0.36633337
12,0.35533333
13,0.36100003
14,0.36800003
15,0.37433332
16,0.36833337
17,0.33933336
18,0.34433335
19,0.34
20,0.3666667
21,0.36533335
22,0.36800003
23,0.36433336
24,0.386
25,0.455
26,0.43266672
27,0.46833333
28,0.5193334
29,0.5223333
30,0.52566665
31,0.5323334
32,0.5393334
33,0.5383334
34,0.54200006
35,0.5346667
36,0.5346667
37,0.537
38,0.5363334
39,0.53533334
40,0.53000003
41,0.52400005
42,0.5196667
43,0.5256667
44,0.5266667
45,0.523
46,0.5276666
47,0.52900004
48,0.522
