layer,p
0,0.41550002
1,0.50100005
2,0.50100005
3,0.523
4,0.51500005
5,0.531
6,0.507
7,0.44900003
8,0.46300003
9,0.47500002
10,0.47300002
11,0.48700002
12,0.513
13,0.49500003
14,0.505
15,0.527
16,0.521
17,0.507
18,0.523
19,0.505
20,0.48900002
21,0.483
22,0.46500003
23,0.45700002
24,0.467
25,0.485
26,0.47900003
27,0.47100002
28,0.485
29,0.485
30,0.49100003
31,0.47500002
32,0.47500002
33,0.469
34,0.47100002
35,0.46300003
36,0.47100002
37,0.47900003
38,0.485
39,0.48100004
40,0.47700003
41,0.48100004
42,0.485
43,0.48700002
44,0.48700002
45,0.485
46,0.49100003
47,0.49100003
48,0.49300003
