layer,p
0,0.34033334
1,0.32666668
2,0.32733333
3,0.33200002
4,0.33333334
5,0.337
6,0.3386667
7,0.34533337
8,0.344
9,0.34133336
10,0.354
11,0.349
12,0.3696667
13,0.38000003
14,0.37333333
15,0.36100003
16,0.36200002
17,0.34366667
18,0.32733336
19,0.32533333
20,0.3126667
21,0.28433332
22,0.24833333
23,0.21733335
24,0.21666667
25,0.23433334
26,0.25733334
27,0.245
28,0.275
29,0.28433335
30,0.28833333
31,0.27400002
32,0.27166668
33,0.27
34,0.27133334
35,0.27733332
36,0.2866667
37,0.28533334
38,0.28333336
39,0.2826667
40,0.29200003
41,0.29000002
42,0.28633335
43,0.29533336
44,0.2963333
45,0.29333332
46,0.305
47,0.303
48,0.30233335
