layer,p
0,0.49300003
1,0.497
2,0.48700002
3,0.48900002
4,0.503
5,0.51100004
6,0.505
7,0.517
8,0.52900004
9,0.537
10,0.50100005
11,0.507
12,0.51100004
13,0.517
14,0.531
15,0.57100004
16,0.537
17,0.53300005
18,0.523
19,0.545
20,0.56100005
21,0.54700005
22,0.545
23,0.53900003
24,0.51500005
25,0.503
26,0.507
27,0.51900005
28,0.521
29,0.507
30,0.513
31,0.517
32,0.527
33,0.53300005
34,0.541
35,0.53300005
36,0.49300003
37,0.469
38,0.46300003
39,0.46100003
40,0.44300002
41,0.43300003
42,0.425
43,0.41900003
44,0.42700002
45,0.379
46,0.37300003
47,0.40100002
48,0.37300003
