layer,p
0,0.48813334
1,0.52293336
2,0.5342667
3,0.54626673
4,0.5506667
5,0.542
6,0.54253334
7,0.5362667
8,0.5353334
9,0.53226674
10,0.5484
11,0.54533345
12,0.54746664
13,0.5525334
14,0.5693334
15,0.5766667
16,0.58066666
17,0.5728
18,0.5778667
19,0.5942667
20,0.65173334
21,0.6192
22,0.63946664
23,0.6257333
24,0.6382666
25,0.68360007
26,0.66573334
27,0.68599993
28,0.6890667
29,0.68640006
30,0.6838667
31,0.6842667
32,0.6816
33,0.67586666
34,0.6778667
35,0.68320006
36,0.6789334
37,0.6784001
38,0.674
39,0.6734667
40,0.6753334
41,0.67226666
42,0.67266667
43,0.6750667
44,0.6749333
45,0.67546666
46,0.67466664
47,0.67399997
48,0.6756
