layer,p
0,0.11916667
1,0.164
2,0.18300001
3,0.179
4,0.186
5,0.178
6,0.18
7,0.15400001
8,0.16800001
9,0.165
10,0.177
11,0.171
12,0.172
13,0.194
14,0.18400002
15,0.133
16,0.141
17,0.136
18,0.16000001
19,0.16600001
20,0.18200001
21,0.16900001
22,0.17
23,0.178
24,0.163
25,0.17500001
26,0.19900002
27,0.193
28,0.209
29,0.19000001
30,0.202
31,0.20300001
32,0.18
33,0.19000001
34,0.20600002
35,0.21100001
36,0.21800001
37,0.21000001
38,0.21000001
39,0.193
40,0.192
41,0.19900002
42,0.19600001
43,0.20500001
44,0.19900002
45,0.19900002
46,0.19600001
47,0.193
48,0.193
