layer,p
0,0.3681973064584391
1,0.38457620463200975
2,0.3869857255901609
3,0.3944762093680246
4,0.4255809688142368
5,0.3965714435492243
6,0.39991192732538494
7,0.39854287249701364
8,0.4160333499312401
9,0.4154714494943619
10,0.46045716532639097
11,0.4609714576176235
12,0.4861333497932979
13,0.5166524031332561
14,0.5556047856807709
15,0.5484738286052432
16,0.570295261485236
17,0.5543428851025445
18,0.5587762104613441
19,0.5489071628877095
20,0.5537619314023426
21,0.5463143076215472
22,0.5587357431650162
23,0.5533571775470462
24,0.5524476511137826
25,0.539404788187572
26,0.5439619187797818
27,0.5408000200986862
28,0.5442286027329308
