layer,p
0,0.3681973064584391
1,0.3826285888041769
2,0.3766809669988496
3,0.39431906385081156
4,0.42427620611020495
5,0.3810381144285202
6,0.3846714443394116
7,0.39187145020280567
8,0.4003190685595785
9,0.39833335472004755
10,0.4387476401669638
11,0.43441907316446304
12,0.4538857340812683
13,0.44455239708934513
14,0.450552404991218
15,0.44416192706142155
16,0.47716908156871796
17,0.4100071606891496
18,0.4101857330117907
19,0.3811333530715534
20,0.38950478711298536
21,0.40068334873233524
22,0.39975716386522564
23,0.38917144920144764
24,0.38329525930540903
25,0.37658572622707914
26,0.3759095455918993
27,0.37747145018407274
28,0.37418097470487865
