layer,p
0,0.3681973064584391
1,0.38549050050122396
2,0.3751190613423075
3,0.3919809694801058
4,0.4211952622447695
5,0.3933857264263289
6,0.3985523964677538
7,0.4078285875064986
8,0.4211476370692253
9,0.42522382736206055
10,0.46507622727325987
11,0.4784666874579021
12,0.5147095535482679
13,0.5755381158420018
14,0.6271000270332608
15,0.6256619415112904
16,0.6400047838687897
17,0.6481547909123557
18,0.6507500282355717
19,0.6488667002746037
20,0.6512714688267026
21,0.639707184263638
22,0.6531357488461903
23,0.6537952699831554
24,0.6571047965969358
25,0.6514286015714917
26,0.6512857377529144
27,0.6486857448305402
28,0.6553857432944434
