layer,p
0,0.3681973064584391
1,0.39764286897012163
2,0.4147285893559456
3,0.4028143041900226
4,0.43155715082372936
5,0.41208335225071224
6,0.39469049764531
7,0.396190491105829
8,0.399392874113151
9,0.39619287316288265
10,0.4127714474286352
11,0.4081809680376734
12,0.4535190739801952
13,0.4380928799510002
14,0.46206193204436985
15,0.44247621297836304
16,0.4823476416724069
17,0.4736476466059685
18,0.47073811079774586
19,0.46437383336680277
20,0.48245241173676084
21,0.48889763972588945
22,0.4792166884456362
23,0.48044764356953756
24,0.4786738359502384
25,0.4761619323066303
26,0.469661934035165
27,0.46652383570160183
28,0.46212382721049444
