layer,p
0,1.000000102179391
1,0.9673857646329063
2,0.9894952816622598
3,0.9634095856121608
4,0.9172571854931968
5,1.0268524161406927
6,1.0085143489497048
7,1.0222333797386713
8,1.0214810115950448
9,1.029952428170613
10,0.9490048246724265
11,0.9589000386851174
12,0.9342286161014012
13,1.0651809956346239
14,1.1288238550935472
15,1.1219143399170466
16,1.0757095984050207
17,1.3048429148537772
18,1.3164857881409782
19,1.4534238960061754
20,1.427133423941476
21,1.408347679036004
22,1.3615333863667078
23,1.4051810162408012
24,1.4259333738258906
25,1.4575429090431757
26,1.4720858037471771
27,1.45027152129582
28,1.4593286514282227
