layer,p
0,1.000000102179391
1,0.9566381360803332
2,0.9927143156528473
3,0.9662762326853616
4,0.9152286010129111
5,0.9653000491006034
6,0.9693714763436999
7,0.9505810226712909
8,0.951157169682639
9,0.9221476699624743
10,0.8663476705551147
11,0.8540190884045192
12,0.7922476530075073
13,0.7023762145212719
14,0.6169905140995979
15,0.6234143163476672
16,0.6023714531745229
17,0.5831667014530727
18,0.5795952624508313
19,0.5837428814598492
20,0.5807190675820623
21,0.5662762123559203
22,0.5771333628467151
23,0.575861934040274
24,0.5718857443758419
25,0.5838571691087314
26,0.5855476377265794
27,0.5900571670915399
28,0.5808714612254074
