layer,p
0,1.000000102179391
1,0.9451190871851785
2,0.919781003679548
3,0.9490381479263306
4,0.9157667053597314
5,0.9547381230763027
6,0.9716191206659589
7,0.9807143381663731
8,0.977380999497005
9,0.9700667304652077
10,0.9396476532731738
11,0.9417333773204258
12,0.8622714919703347
13,0.8890524314982551
14,0.854280989084925
15,0.876642929656165
16,0.8078238325459617
17,0.8292524239846638
18,0.8450238513095039
19,0.858585774898529
20,0.8373095733778817
21,0.8317286244460514
22,0.8227333724498749
23,0.8455809886966433
24,0.8518428887639727
25,0.843580995287214
26,0.8466524141175407
27,0.8510714556489672
28,0.8711809941700527
