layer,p
0,0.3675571594919477
1,0.3730857329709189
2,0.3737904961620058
3,0.3755571608032499
4,0.37568096976195064
5,0.3702190635459764
6,0.3663000134485109
7,0.37154287312711987
8,0.3808190641658647
9,0.37872858930911335
10,0.40113335102796555
11,0.40625240334442686
12,0.4166190592306001
13,0.4074619263410568
14,0.42752859741449356
15,0.4315000219004495
16,0.4476143089788301
17,0.40002383078847614
18,0.40698573525462833
19,0.39212858570473536
20,0.412138112953731
21,0.41888097460780827
22,0.41436192073992323
23,0.40546668746641706
24,0.40043811180761885
25,0.3799619238291468
26,0.3865095430186817
27,0.3752476381404059
28,0.38828573163066593
