layer,p
0,0.3675571594919477
1,0.37399049529007505
2,0.3734095474439008
3,0.3762571577514921
4,0.3760190648691995
5,0.3746142978114741
6,0.3717190649892603
7,0.37353334735546795
8,0.3874857287321772
9,0.3927381155746324
10,0.4210714463676725
11,0.4268000189747129
12,0.44415716933352606
13,0.48528573555605753
14,0.5060762166976929
15,0.5268571632249015
16,0.5507809860365731
17,0.5651095594678607
18,0.5659143115792956
19,0.560347637959889
20,0.5766476371458599
21,0.5750857421330043
22,0.5602619264807019
23,0.5902857375996453
24,0.6076952666044235
25,0.6044333683592933
26,0.5839619274650302
27,0.5726285981280463
28,0.6122047901153564
