layer,p
0,0.3792666776904038
1,0.36831430345773697
2,0.37560477586729185
3,0.37427144018667086
4,0.373523828706571
5,0.37324763515165876
6,0.37470954603382517
7,0.37714288170848576
8,0.38169049258743015
9,0.37888097230877193
10,0.37908096611499786
11,0.38148573360272814
12,0.39935716507690294
13,0.38589526021054815
14,0.407747636948313
15,0.39861431079251425
16,0.4233714448554175
17,0.4157476382596152
18,0.41746193383421215
19,0.4169143071132047
20,0.4396523918424334
21,0.42854287581784384
22,0.4251619300671986
23,0.42477620393037796
24,0.4088095362697329
25,0.40305240132978987
26,0.4115476342184203
27,0.4162524033870016
28,0.4254381113818714
