layer,p
0,1.984126984126984e-05
1,1.984126984126984e-05
2,1.984126984126984e-05
3,1.984126984126984e-05
4,1.984126984126984e-05
5,1.984126984126984e-05
6,1.984126984126984e-05
7,1.984126984126984e-05
8,1.984126984126984e-05
9,1.984126984126984e-05
10,1.984126984126984e-05
11,1.984126984126984e-05
12,1.984126984126984e-05
13,1.984126984126984e-05
14,1.984126984126984e-05
15,1.984126984126984e-05
16,1.984126984126984e-05
17,1.984126984126984e-05
18,1.984126984126984e-05
19,1.984126984126984e-05
20,1.984126984126984e-05
21,1.984126984126984e-05
22,1.984126984126984e-05
23,1.984126984126984e-05
24,1.984126984126984e-05
25,1.984126984126984e-05
26,1.984126984126984e-05
27,1.984126984126984e-05
28,1.984126984126984e-05
