layer,p
0,9.902359398746999e-06
1,0.00021417270642944328
2,0.0003061411705078042
3,0.0008630528279484549
4,0.0017414577741874382
5,0.04981271911362585
6,0.09685667656906714
7,0.17719963746328307
8,0.20991551435352968
9,0.2283162060360025
10,0.21853513102645852
11,0.21708172435838996
12,0.22470653745611863
13,0.29769132419356276
14,0.3632305234537593
15,0.43138425554414944
16,0.4535583435956921
17,0.5100509330098119
18,0.5211227831563779
19,0.5786009465477296
20,0.5855477654508182
21,0.7295522540807724
22,0.9461006820201874
23,0.9687947290284293
24,0.9689464271068573
25,0.9774890882628304
26,0.9920030917440142
27,0.9927425129073006
28,0.9984871830259051
