layer,p
0,9.902359398746999e-06
1,0.00021421374373988198
2,0.00030624139214653823
3,0.0008628238725317974
4,0.001742609588680872
5,0.05097238342568744
6,0.09792399745076961
7,0.1772687798158066
8,0.21065666902411198
9,0.2295203026317592
10,0.21946331007140024
11,0.21811348445148074
12,0.22553604177664965
13,0.29750337433402557
14,0.36615382470855756
15,0.4324171619622835
16,0.4560474267761622
17,0.5112317699406829
18,0.5237394470189299
19,0.5692930434431348
20,0.576045619856034
21,0.7181372030505112
22,0.9202328622341156
23,0.939290708729199
24,0.946627506187984
25,0.9554982440812247
26,0.9788362426417214
27,0.9830793568066188
28,0.9873164338724953
