layer,p
0,9.902359398746999e-06
1,0.00021882426433096822
2,0.0002725195820728134
3,0.000943753784927789
4,0.001715721894860118
5,0.0023026008270790044
6,0.0028528268990157812
7,0.005670733770265153
8,0.008908420410469782
9,0.014019246193324111
10,0.02068605502959794
11,0.014451097234931305
12,0.019171192651940925
13,0.031237118742345565
14,0.05449491240688076
15,0.1258807747085809
16,0.11984724131920643
17,0.15671832241205713
18,0.2547350165657747
19,0.3122677102265118
20,0.28649574385364523
21,0.28921100907097347
22,0.3403661679410947
23,0.35782096793841284
24,0.36493923505541453
25,0.35416128660132734
26,0.32624187962148554
27,0.29984414830940814
28,0.30398944873925465
