layer,p
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.10903333805202108
6,0.09626667027727567
7,0.10834762184614581
8,0.12608095562817262
9,0.12620952870929614
10,0.1144238124668066
11,0.1189190520090051
12,0.15080953056791
13,0.17365238762327603
14,0.18050953409900622
15,0.183776195826275
16,0.19189524879246683
17,0.21910953727949942
18,0.2019523904309608
19,0.2116619153946106
20,0.22174762687479546
21,0.3237333447655796
22,0.40885715931653976
23,0.4042523982269423
24,0.400223824594702
25,0.3798904961773327
26,0.3864381153668676
27,0.3752476381404059
28,0.3880000188946724
