layer,p
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.10957143494826076
6,0.09609047935477324
7,0.10680476619329836
8,0.12699524256666855
9,0.13018571794964373
10,0.11975714720652572
11,0.12259048140341681
12,0.1622571488842368
13,0.19286667369306087
14,0.19988096065519909
15,0.20795714748757227
16,0.2241333446166079
17,0.28789048973703757
18,0.2751190614321136
19,0.2631857196434534
20,0.25961905397707596
21,0.38486668154863374
22,0.5192619242838451
23,0.5617857319968087
24,0.5874095495258059
25,0.5883619338274002
26,0.5769619281802859
27,0.5674857390778405
28,0.6042047909327916
