layer,p
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.4285713924826788e-05
7,0.0
8,0.0005714285985699721
9,0.003219047730194039
10,0.00472380975926561
11,0.0048857144678809816
12,0.004657143144868314
13,0.006757143069989979
14,0.011404762476948755
15,0.06880476355685719
16,0.046671429906772186
17,0.0698619092415486
18,0.11368571990169585
19,0.12838096010299133
20,0.14125714926714344
21,0.13210000867755817
22,0.14145715162158012
23,0.14819048277734378
24,0.13819524472013914
25,0.1415666735265404
26,0.13931905392590643
27,0.13437143670827417
28,0.1256142926535436
