layer,p
0,0.3681973064584391
1,0.38440477528742384
2,0.37693335648093906
3,0.3875095450452396
4,0.41068097949028015
5,0.3806619250348636
6,0.388528582240854
7,0.38733812102249693
8,0.4015571581465857
9,0.4037809723189899
10,0.45085240474769045
11,0.44297621718474794
12,0.47049525699445177
13,0.4860476425715855
14,0.5260238349437714
15,0.5169476398399898
16,0.5459309816360474
17,0.5141547918319702
18,0.5127428727490562
19,0.4979690739086696
20,0.508157165987151
21,0.5063571674483163
22,0.5149666879858289
23,0.5091333634087017
24,0.501900023647717
25,0.496938125363418
26,0.4976047873497009
27,0.4962047891957419
28,0.4998952586735998
