layer,p
0,0.5
1,0.48800004
2,0.5065
3,0.467
4,0.45450002
5,0.47500002
6,0.48800004
7,0.47400004
8,0.5005
9,0.47250003
10,0.47750002
11,0.5095
12,0.5165
13,0.47400004
14,0.47300002
15,0.48250002
16,0.48400003
17,0.47900003
18,0.46850002
19,0.46950004
20,0.45400003
21,0.446
22,0.45200002
23,0.455
24,0.44900003
25,0.44550002
26,0.44750002
27,0.4505
28,0.46300003
29,0.46300003
30,0.47400004
31,0.48100004
32,0.49100003
33,0.499
34,0.50100005
35,0.503
36,0.497
37,0.507
38,0.5025
39,0.50600004
40,0.5065
41,0.50100005
42,0.49300003
43,0.48850003
44,0.50350004
