layer,p
0,0.5
1,0.507
2,0.48800004
3,0.537
4,0.5335
5,0.4785
6,0.47550002
7,0.50100005
8,0.54950005
9,0.53800005
10,0.497
11,0.523
12,0.4875
13,0.49550003
14,0.49350002
15,0.483
16,0.48950002
17,0.49250004
18,0.504
19,0.509
20,0.51100004
21,0.50200003
22,0.50600004
23,0.50850004
24,0.509
25,0.51000005
26,0.5065
27,0.5015
28,0.50600004
29,0.5095
30,0.49650002
31,0.49800003
32,0.49600002
33,0.49500003
34,0.48350003
35,0.49300003
36,0.48400003
37,0.47500002
38,0.48900002
39,0.48650002
40,0.4945
41,0.492
42,0.47800002
43,0.46850002
44,0.47650003
