layer,p
0,0.3333334
1,0.32500002
2,0.30433336
3,0.2996667
4,0.32133332
5,0.321
6,0.34600002
7,0.34966668
8,0.37533337
9,0.38166672
10,0.397
11,0.416
12,0.39000002
13,0.363
14,0.39733332
15,0.42033336
16,0.46100003
17,0.497
18,0.483
19,0.49100003
20,0.48266667
21,0.48366672
22,0.48933336
23,0.4736667
24,0.5123334
25,0.5116667
26,0.52400005
27,0.52066666
28,0.545
29,0.54200006
30,0.54733336
31,0.53866667
32,0.5363333
33,0.5216667
34,0.54233336
35,0.5446667
36,0.5273333
37,0.5183333
38,0.513
39,0.512
40,0.49933332
41,0.521
42,0.49500003
43,0.5186667
44,0.523
