layer,p
0,0.5
1,0.52250004
2,0.48800004
3,0.51750004
4,0.48800004
5,0.53150004
6,0.52750003
7,0.47700003
8,0.5255
9,0.5345
10,0.52000004
11,0.51850003
12,0.49500003
13,0.514
14,0.53900003
15,0.5425
16,0.523
17,0.483
18,0.483
19,0.448
20,0.44250003
21,0.43100002
22,0.432
23,0.425
24,0.40100002
25,0.397
26,0.3925
27,0.38950002
28,0.37800002
29,0.3855
30,0.4115
31,0.37350002
32,0.35000002
33,0.36400002
34,0.3925
35,0.37600002
36,0.40800002
37,0.36350003
38,0.35250002
39,0.34800002
40,0.31750003
41,0.3345
42,0.33600003
43,0.34100002
44,0.34250003
