layer,p
0,0.3681973064584391
1,0.35672008991241455
2,0.36435256579092573
3,0.36746958111013683
4,0.38106770919901983
5,0.38107247331312727
6,0.38240613681929453
7,0.3919847107359341
8,0.3916007067476
9,0.4135085195302963
10,0.4705923753125327
11,0.4825416909796851
12,0.495417703475271
13,0.5047430374792644
14,0.5111420282295772
15,0.5254799574613571
16,0.526544417653765
17,0.5402578413486481
18,0.5534847251006535
19,0.5630063201699939
20,0.5649556475026267
21,0.5728338743959155
22,0.5821315007550376
23,0.5849724880286625
24,0.5918427152293069
25,0.5886595568486622
26,0.6024524079901832
27,0.6103059713329587
28,0.6182995183127267
29,0.6199952427830014
30,0.6219238298279899
31,0.6237905025482178
32,0.6215321783508573
33,0.6188238348279681
34,0.6189047885792596
35,0.6190928901944842
36,0.6130964500563485
37,0.6162738502025604
38,0.613442885024207
39,0.6145393145935876
40,0.609157172696931
41,0.6085396579333714
42,0.6082155002014977
43,0.6162190756627491
44,0.6167595620666232
