layer,p
0,0.3681973064584391
1,0.3453501888683864
2,0.3440685548952648
3,0.35296702704259325
4,0.3753765512789999
5,0.38851294772965567
6,0.39377026366336004
7,0.38865069299936295
8,0.39419729369027273
9,0.39761566690036226
10,0.4174581787415913
11,0.437703084732805
12,0.4299566554171698
13,0.4301942395312445
14,0.42661447929484503
15,0.4480796126382692
16,0.4516025653907231
17,0.46498811883585794
18,0.4542268972311701
19,0.4629066458770207
20,0.45282196147101267
21,0.4530029094644955
22,0.4523124322295189
23,0.4475697491850172
24,0.448552060340132
25,0.4503301190478461
26,0.45058504917791914
27,0.4530357314007623
28,0.44977723700659616
29,0.4419660121202469
30,0.443535396030971
31,0.43772076815366745
32,0.45364048864160267
33,0.4380372645599501
34,0.44652859227997915
35,0.4436867567045348
36,0.4403057960527284
37,0.44351073248045786
38,0.44467212685516905
39,0.4478666867528643
40,0.4508964515158108
41,0.45348573263202396
42,0.45705512698207584
43,0.4667717920882361
44,0.4771345502563885
