layer,p
0,0.5
1,0.532
2,0.48700002
3,0.47550002
4,0.508
5,0.509
6,0.503
7,0.5195
8,0.54
9,0.5285
10,0.42450002
11,0.44250003
12,0.4295
13,0.40800002
14,0.41200003
15,0.3975
16,0.40750003
17,0.39800003
18,0.397
19,0.37250003
20,0.37500003
21,0.36600003
22,0.37050003
23,0.36200002
24,0.3695
25,0.37
26,0.37950003
27,0.38200003
28,0.38650003
29,0.3925
30,0.41050002
31,0.39400002
32,0.42350003
33,0.42000002
34,0.41950002
35,0.42000002
36,0.418
37,0.42700002
38,0.42100003
39,0.42650002
40,0.42600003
41,0.42000002
42,0.41250002
43,0.409
44,0.41000003
