layer,p
0,0.3333334
1,0.28866667
2,0.27033332
3,0.31133333
4,0.23933333
5,0.31
6,0.33033335
7,0.31833336
8,0.268
9,0.29700002
10,0.32700002
11,0.32033336
12,0.29333332
13,0.31833336
14,0.312
15,0.3196667
16,0.34433332
17,0.377
18,0.34166667
19,0.32933336
20,0.33100003
21,0.374
22,0.36666667
23,0.37266672
24,0.4036667
25,0.41133335
26,0.41533333
27,0.41633335
28,0.41666672
29,0.4306667
30,0.40133333
31,0.39433333
32,0.39433333
33,0.38900003
34,0.40233335
35,0.39266667
36,0.38133335
37,0.38133332
38,0.37600002
39,0.3716667
40,0.39
41,0.39400002
42,0.38433337
43,0.38966668
44,0.39433336
