layer,p
0,0.5
1,0.513
2,0.5
3,0.514
4,0.47800002
5,0.528
6,0.5145
7,0.47200003
8,0.514
9,0.50200003
10,0.377
11,0.41000003
12,0.388
13,0.384
14,0.41000003
15,0.41450003
16,0.39200002
17,0.377
18,0.35450003
19,0.32650003
20,0.29900002
21,0.2815
22,0.27150002
23,0.24400002
24,0.20850001
25,0.17400001
26,0.16600001
27,0.15750001
28,0.142
29,0.13000001
30,0.135
31,0.13700001
32,0.1385
33,0.14050001
34,0.14400001
35,0.14400001
36,0.14250001
37,0.13900001
38,0.13800001
39,0.14400001
40,0.13700001
41,0.136
42,0.128
43,0.1285
44,0.136
