layer,p
0,0.3333334
1,0.377
2,0.24233335
3,0.29633334
4,0.33400002
5,0.31
6,0.30600002
7,0.26133335
8,0.26733336
9,0.22100002
10,0.05733334
11,0.17733334
12,0.06166667
13,0.031000001
14,0.012666668
15,0.027
16,0.038000003
17,0.064666666
18,0.15900001
19,0.21466666
20,0.277
21,0.24333334
22,0.23333335
23,0.26166666
24,0.20600002
25,0.16466667
26,0.11166668
27,0.13066667
28,0.14933336
29,0.16566668
30,0.16633333
31,0.19266666
32,0.17533334
33,0.17966667
34,0.177
35,0.17533334
36,0.18966666
37,0.16000001
38,0.16233334
39,0.13033333
40,0.12066667
41,0.116333336
42,0.10733334
43,0.102666676
44,0.094000004
