layer,p
0,1.000000102179391
1,0.962666745696749
2,0.9855762634958539
3,0.9817953024591718
4,0.9443619506699699
5,0.9734143359320504
6,0.9375952652522496
7,0.9656571873596737
8,0.961681033883776
9,0.922442900282996
10,0.8566905132361821
11,0.8330238504069192
12,0.8191047992025103
13,0.8115429026739938
14,0.7992857247591019
15,0.7660190739801952
16,0.7615524253674916
17,0.7460952890770776
18,0.7213000229426793
19,0.7077143362590245
20,0.7213381337268012
21,0.7086714591298785
22,0.6910238553370748
23,0.6817143282720021
24,0.6787238333906446
25,0.6590476504393986
26,0.6507857420614788
27,0.650680980512074
28,0.6410190910100937
29,0.632814320070403
30,0.6272095622760909
31,0.6248667037912777
32,0.6308000215462276
33,0.6349381250994546
34,0.6345904948455947
35,0.6346476450562477
36,0.6429143111620631
37,0.6390476439680371
38,0.6471048018762043
39,0.641619083072458
40,0.6514000264661652
41,0.6571143226964133
42,0.6606476647513253
43,0.6443762236407825
44,0.6400238413895879
