layer,p
0,1.000000102179391
1,0.9902286444391523
2,0.9870238729885646
3,0.9690238577978951
4,0.9479381484644753
5,0.9722143369061607
6,0.9663476773670742
7,0.9702524287360055
8,0.972481003829411
9,0.9598095715045929
10,0.9312905158315387
11,0.8925809860229492
12,0.8996714864458356
13,0.8660095419202533
14,0.8750476496560233
15,0.8796667201178414
16,0.8737714631216866
17,0.866028619664056
18,0.8478619498865945
19,0.8593857671533313
20,0.8691809773445129
21,0.8633381426334381
22,0.872652428490775
23,0.8769476584025792
24,0.8722524174622127
25,0.8624048360756466
26,0.8749571868351528
27,0.8296000574316297
28,0.8459666882242475
29,0.8469429016113281
30,0.8536810087306159
31,0.8285762305770602
32,0.8682952799967357
33,0.8595429105418069
34,0.8697428894894463
35,0.871395292026656
36,0.8689666986465454
37,0.8592190870216915
38,0.8653381296566555
39,0.8431524187326431
40,0.8415286008800779
41,0.8339667235101972
42,0.8310143245118005
43,0.8272238352469036
44,0.8217000322682517
