layer,p
0,0.37199049443006516
1,0.37627144956163
2,0.3805571618889059
3,0.3747571584369455
4,0.3740523984389646
5,0.3726523970918996
6,0.37000954310808865
7,0.3708952596145017
8,0.3694095393376691
9,0.37027144698160036
10,0.35964763377393993
11,0.3618857328380857
12,0.3606857316834586
13,0.35880477353930473
14,0.35871430380003794
15,0.36276668097291676
16,0.36491906749350683
17,0.3668523984295981
18,0.3669047776077475
19,0.3630000187882355
20,0.36297144687601496
21,0.36514286963003023
22,0.37113811394998003
23,0.3724762036332062
24,0.3804762086697987
25,0.38343335102711407
26,0.39667144630636486
27,0.40785716474056244
28,0.41297144442796707
29,0.4159143013613565
30,0.4208333609359605
31,0.42158098625285284
32,0.41528574164424625
33,0.4161285970892225
34,0.41210477692740305
35,0.4119238236120769
36,0.40148573368787766
37,0.40213812461921145
38,0.40361906800951275
39,0.40915716120174955
40,0.3958523965307644
41,0.3912523974265371
42,0.3832476351942335
43,0.4078571732555117
44,0.4035285913518497
