layer,p
0,0.3698047756084374
1,0.37865239807537626
2,0.38356668395655497
3,0.37869049502270563
4,0.37931906644787106
5,0.37846192185367855
6,0.37349049001932144
7,0.37153811007738113
8,0.374680971460683
9,0.3783619249505656
10,0.3743428811430931
11,0.3752762127135481
12,0.3752285949885845
13,0.37963811521019253
14,0.37560001920376507
15,0.37628573764647755
16,0.3774524022425924
17,0.3718809714274747
18,0.3725666840161596
19,0.3731666872543948
20,0.37425239969577107
21,0.3763143079621451
22,0.382223834416696
23,0.37918573564716745
24,0.3792619188981397
25,0.3797762133181095
26,0.3815095419330256
27,0.3895285895892552
28,0.3871238300842898
29,0.3872762104230268
30,0.38757621337260517
31,0.39134763340864864
32,0.39102858304977417
33,0.3942714487867696
34,0.3948904983699322
35,0.39196668033088955
36,0.3979476440165724
37,0.4049142992922238
38,0.40404763924224035
39,0.408252411122833
40,0.4034619299428804
41,0.4027857333421707
42,0.3984571604856423
43,0.4073285907506943
44,0.3940952547958919
