layer,p
0,0.0001491095338548933
1,0.0024023609501974924
2,0.004116352115358625
3,0.007275457893099103
4,0.005536288022994995
5,0.007705160549708775
6,0.004508967910494123
7,0.004731718982969012
8,0.0034595600196293424
9,0.006082977567400251
10,0.03775392259870257
11,0.036083493913922994
12,0.0881055040018899
13,0.20962585721697127
14,0.21254658273288182
15,0.20302014691489084
16,0.18937572836875916
17,0.23417944141796657
18,0.24793999535696848
19,0.26782372168132235
20,0.2774662375450134
21,0.2959764301776886
22,0.3163083280835833
23,0.3296876294272287
24,0.3790316581726074
25,0.39681707109723774
26,0.41769043036869596
27,0.43993349160466877
28,0.4649814026696341
29,0.47918312890189035
30,0.48025476932525635
31,0.48917102813720703
32,0.5059667995997837
33,0.5134604317801339
34,0.537487302507673
35,0.5405006408691406
36,0.5460630144391742
37,0.5627784729003906
38,0.5711056845528739
39,0.5879240036010742
40,0.6276147024972099
41,0.6536080496651786
42,0.7675432477678571
43,0.9593680245535714
44,0.8318219866071429
