layer,p
0,0.0
1,0.0
2,0.0
3,0.0007857143479798521
4,0.0022142857612509814
5,0.0037857143241646035
6,0.0
7,0.005142857561752733
8,0.00042857143229671886
9,0.0008523809790079083
10,0.06733810063451529
11,0.06099047804517405
12,0.12000953006957259
13,0.14383334013733215
14,0.14607619891674922
15,0.14640000767706493
16,0.1475619096142639
17,0.1486761971609667
18,0.1493381028994918
19,0.1457619105598756
20,0.14633810413735254
21,0.15079524537681468
22,0.15723810364891375
23,0.15647143564586127
24,0.18760000807898386
25,0.19643810178552354
26,0.20560477248259953
27,0.21036668121814728
28,0.2103809617110528
29,0.21435238910739177
30,0.21519524497645243
31,0.2143381068349949
32,0.22072858533023723
33,0.22400477162695356
34,0.2275809608399868
35,0.22439048958144017
36,0.21963334176689386
37,0.23030477203428745
38,0.23169524701578276
39,0.2441904852166772
40,0.2568571550821486
41,0.26131430068718536
42,0.3469000171337809
43,0.4051571658679417
44,0.3892857389790671
