layer,p
0,0.0
1,0.0
2,0.0
3,0.0008571429228010986
4,0.0020000001448871835
5,0.0035714287078008056
6,0.00014285714964249304
7,0.005571428794480328
8,0.00042857143229671886
9,0.0010047619580291212
10,0.07070952773626361
11,0.06367619168512258
12,0.13357143396777765
13,0.15858572175160848
14,0.15899524703023157
15,0.15910476964199916
16,0.1576523863145017
17,0.15885715158323624
18,0.16108572403235094
19,0.1639809586506869
20,0.16512381604739598
21,0.1670285810250789
22,0.17319048458843359
23,0.1822428634789373
24,0.19780476604189193
25,0.20983333672795976
26,0.22632858157157898
27,0.23311429364340647
28,0.22978096866946934
29,0.2409809661081194
30,0.23767144707796564
31,0.23697619884374685
32,0.24607620853930712
33,0.2513809579291514
34,0.2677809681211199
35,0.26954763994685244
36,0.2689952463177698
37,0.2790666745110814
38,0.2698095416916268
39,0.2745381091455264
40,0.29041430166190757
41,0.30660953665418283
42,0.3958952586565699
43,0.5199905037879944
44,0.46087621578148436
