layer,p
0,0.0
1,0.0
2,0.0
3,0.0005714285819392119
4,0.0013571429132883037
5,0.0030714286591059397
6,0.0005714285985699721
7,0.010147619446278051
8,0.005642857402563095
9,0.015000000596046448
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0006428571817065988
15,0.0008571428645934377
16,0.0012857143634131976
17,0.02342857207570757
18,0.041214286748852046
19,0.04707619326914677
20,0.0752428604173474
21,0.07806190835877455
22,0.0764238133228251
23,0.07776190812832542
24,0.08209047972091607
25,0.08400952709572655
26,0.08558572030493192
27,0.08813333883881569
28,0.08944286139948028
29,0.08970952779054642
30,0.09094286177839551
31,0.09074286158595767
32,0.0917047666651862
33,0.09129048138856888
34,0.09127619649682726
35,0.09240952744481287
36,0.0939904802611896
37,0.09217619722975152
38,0.09158095650907074
39,0.09070476783173424
40,0.09457143396139145
41,0.08550476573873311
42,0.0841238132561557
43,0.10516190873126366
44,0.0006000000264196258
