layer,p
0,0.071428575
1,0.12792858
2,0.15114287
3,0.16164286
4,0.16064286
5,0.18871428
6,0.14771429
7,0.12878573
8,0.1447143
9,0.17978571
10,0.09764287
11,0.12100001
12,0.11607143
13,0.14657144
14,0.13978572
15,0.21164286
16,0.2037143
17,0.27671427
18,0.30271432
19,0.33942857
20,0.383
21,0.40785715
22,0.4284286
23,0.45464283
24,0.4497143
25,0.49800003
26,0.50421435
27,0.53507143
28,0.51000005
29,0.45800003
30,0.50200003
31,0.528
32,0.549
33,0.5640714
34,0.58607143
35,0.55200005
36,0.56700003
37,0.56314284
38,0.56
39,0.5271428
40,0.48900002
41,0.467
42,0.45200002
43,0.50600004
44,0.563
