layer,p
0,0.1666667
1,0.17
2,0.13383333
3,0.15466666
4,0.14016668
5,0.18400002
6,0.21183336
7,0.25883332
8,0.23433335
9,0.16933335
10,0.18616667
11,0.19900002
12,0.23183332
13,0.20416667
14,0.18816666
15,0.21233335
16,0.21233335
17,0.23950002
18,0.2495
19,0.23333335
20,0.22133335
21,0.21450002
22,0.21450001
23,0.21616666
24,0.22000001
25,0.22000001
26,0.20300001
27,0.20333335
28,0.1975
29,0.19700001
30,0.19500001
31,0.19116667
32,0.18200001
33,0.17833334
34,0.17283335
35,0.1815
36,0.18483335
37,0.18066667
38,0.17600001
39,0.17966667
40,0.18416667
41,0.18400002
42,0.18400002
43,0.18216667
44,0.17816669
