layer,p
0,0.3681973064584391
1,0.35520580198083607
2,0.3582217927489962
3,0.3615177114095007
4,0.3707721254655293
5,0.37325393089226316
6,0.37125835354839054
7,0.38553931351218906
8,0.39064884185791016
9,0.3970666964139257
10,0.41022501247269766
11,0.4262872646961893
12,0.4211330051933016
13,0.424239310835089
14,0.4315690706883158
15,0.4551131171839578
16,0.4674083526645388
17,0.48906940647533964
18,0.49555631833417074
19,0.504450363772256
20,0.5102541063513074
21,0.5136313182967049
22,0.5229592153004238
23,0.522263805781092
24,0.5245039335318974
25,0.5195694140025547
26,0.531253599694797
27,0.5333840378693172
28,0.5380714514425823
29,0.5390610822609493
30,0.5445428831236703
31,0.5455428851502282
32,0.5413821658917836
33,0.5363262317010334
34,0.5372345553977149
35,0.5407928824424744
36,0.5365202618496758
37,0.5394911808626992
38,0.5392190665006638
39,0.5402857427086148
40,0.5344456029789788
41,0.5287535914352962
42,0.5246643104723522
43,0.5370059832930565
44,0.5398785918951035
