layer,p
0,0.3333334
1,0.32333335
2,0.35200003
3,0.35233337
4,0.28666666
5,0.32233334
6,0.31433332
7,0.35966668
8,0.34500003
9,0.3546667
10,0.36633337
11,0.39133337
12,0.39800003
13,0.3846667
14,0.3936667
15,0.42133334
16,0.42600003
17,0.43433335
18,0.42833337
19,0.44300002
20,0.43933338
21,0.45333335
22,0.49466673
23,0.51166666
24,0.513
25,0.50633335
26,0.5453333
27,0.535
28,0.53466666
29,0.55366665
30,0.5786667
31,0.5703334
32,0.54800004
33,0.5203334
34,0.5196667
35,0.513
36,0.49433336
37,0.51000005
38,0.49066672
39,0.497
40,0.4806667
41,0.462
42,0.46366668
43,0.5036667
44,0.48433337
