layer,p
0,0.3681972789115647
1,0.3681972789115647
2,0.3681972789115647
3,0.3681972789115647
4,0.3681972789115647
5,0.3681972789115647
6,0.3681972789115647
7,0.3681972789115647
8,0.3681972789115647
9,0.3681972789115647
10,0.3681972789115647
11,0.3681972789115647
12,0.3681972789115647
13,0.3681972789115647
14,0.3681972789115647
15,0.3681972789115647
16,0.3681972789115647
17,0.3681972789115647
18,0.3681972789115647
19,0.3681972789115647
20,0.3681972789115647
21,0.3681972789115647
22,0.3681972789115647
23,0.3681972789115647
24,0.3681972789115647
25,0.3681972789115647
26,0.3681972789115647
27,0.3681972789115647
28,0.3681972789115647
29,0.3681972789115647
30,0.3681972789115647
31,0.3681972789115647
32,0.3681972789115647
33,0.3681972789115647
34,0.3681972789115647
35,0.3681972789115647
36,0.3681972789115647
37,0.3681972789115647
38,0.3681972789115647
39,0.3681972789115647
40,0.3681972789115647
41,0.3681972789115647
42,0.3681972789115647
43,0.3681972789115647
44,0.3681972789115647
