layer,p
0,0.3681973064584391
1,0.35802621287958963
2,0.36328437605074476
3,0.3695600586278098
4,0.37822008558682035
5,0.3826556344117437
6,0.3793474648680006
7,0.39435903834445135
8,0.39460308636937824
9,0.39055104021515163
10,0.35221736452409197
11,0.37108216008969713
12,0.35809560279761043
13,0.35569712945393156
14,0.3706066608428955
15,0.3897090352007321
16,0.4053534248045513
17,0.4305716220821653
18,0.4309865864259856
19,0.43431089712040766
20,0.44129899995667593
21,0.449437429862363
22,0.45357468192066464
23,0.4492903245346887
24,0.4537887956414904
25,0.4411689064332417
26,0.4532408394983837
27,0.4589336801852499
28,0.4556575023702213
29,0.4575166904500553
30,0.4585321715899876
31,0.45968846551009585
32,0.460561922618321
33,0.4578392995255334
34,0.45701669262988226
35,0.45599763627563206
36,0.4555979775530951
37,0.4576047861150333
38,0.4550381175109318
39,0.4581714581165995
40,0.45059050406728474
41,0.4468598791531154
42,0.44190239746655735
43,0.4529547851000513
44,0.4518678741795676
