layer,p
0,0.5
1,0.50350004
2,0.49350002
3,0.48350003
4,0.51350003
5,0.5005
6,0.5025
7,0.5165
8,0.5335
9,0.52150005
10,0.55700004
11,0.58000004
12,0.57100004
13,0.56600004
14,0.55600005
15,0.53650004
16,0.53300005
17,0.51900005
18,0.528
19,0.549
20,0.536
21,0.53900003
22,0.544
23,0.5695
24,0.55700004
25,0.56200004
26,0.5615
27,0.574
28,0.5755
29,0.596
30,0.588
31,0.587
32,0.61300004
33,0.61700004
34,0.62450004
35,0.61450005
36,0.62200004
37,0.62950003
38,0.6165
39,0.61700004
40,0.6125
41,0.61350006
42,0.61200005
43,0.60400003
44,0.60150003
