layer,p
0,0.5
1,0.505
2,0.48250002
3,0.49750003
4,0.51750004
5,0.50200003
6,0.49750003
7,0.467
8,0.505
9,0.4945
10,0.47050002
11,0.47400004
12,0.5285
13,0.54050004
14,0.54300004
15,0.52500004
16,0.5655
17,0.568
18,0.5855
19,0.564
20,0.514
21,0.51750004
22,0.51500005
23,0.53000003
24,0.51600003
25,0.51900005
26,0.51600003
27,0.39450002
28,0.46250004
29,0.45200002
30,0.45850003
31,0.39450002
32,0.59800005
33,0.48350003
34,0.51500005
35,0.5055
36,0.5055
37,0.51600003
38,0.52150005
39,0.51850003
40,0.51750004
41,0.508
42,0.5285
43,0.521
44,0.5395
