layer,p
0,0.5
1,0.5155
2,0.5255
3,0.52000004
4,0.6025
5,0.5005
6,0.514
7,0.52000004
8,0.52000004
9,0.531
10,0.5165
11,0.53900003
12,0.51900005
13,0.49850002
14,0.51100004
15,0.51500005
16,0.52650005
17,0.528
18,0.5235
19,0.5395
20,0.54450005
21,0.536
22,0.5435
23,0.527
24,0.5375
25,0.523
26,0.523
27,0.523
28,0.52000004
29,0.5205
30,0.51100004
31,0.51600003
32,0.508
33,0.50600004
34,0.51000005
35,0.504
36,0.49950004
37,0.49800003
38,0.5005
39,0.50450003
40,0.5065
41,0.505
42,0.51600003
43,0.50450003
44,0.5155
