layer,p
0,0.5
1,0.44650003
2,0.46300003
3,0.45400003
4,0.503
5,0.48000002
6,0.4735
7,0.5395
8,0.51100004
9,0.49600002
10,0.49800003
11,0.5255
12,0.499
13,0.51100004
14,0.48700002
15,0.49050003
16,0.5105
17,0.49050003
18,0.51250005
19,0.528
20,0.49600002
21,0.497
22,0.49050003
23,0.4875
24,0.53400004
25,0.54050004
26,0.507
27,0.517
28,0.53050005
29,0.5345
30,0.53650004
31,0.5465
32,0.5325
33,0.5245
34,0.54
35,0.545
36,0.53150004
37,0.54450005
38,0.53900003
39,0.5465
40,0.554
41,0.54800004
42,0.5525
43,0.55600005
44,0.54700005
