layer,p
0,0.3333334
1,0.3196667
2,0.3216667
3,0.323
4,0.337
5,0.30266666
6,0.316
7,0.35233337
8,0.3776667
9,0.32866666
10,0.28033334
11,0.29466668
12,0.257
13,0.23900001
14,0.2666667
15,0.26666668
16,0.3046667
17,0.36766666
18,0.3376667
19,0.35733333
20,0.36333334
21,0.37633333
22,0.3486667
23,0.35733333
24,0.36633337
25,0.35900003
26,0.35233334
27,0.35266668
28,0.34833333
29,0.36033335
30,0.36333337
31,0.3616667
32,0.37833333
33,0.37333333
34,0.37966672
35,0.38000003
36,0.37233332
37,0.36400002
38,0.36633334
39,0.3626667
40,0.3696667
41,0.3646667
42,0.36333334
43,0.35333332
44,0.35200003
