layer,p
0,0.3333334
1,0.36800003
2,0.249
3,0.2926667
4,0.33333334
5,0.31
6,0.317
7,0.26833335
8,0.26900002
9,0.39333335
10,0.70500004
11,0.75766665
12,0.87833333
13,0.93633336
14,0.957
15,0.97733337
16,0.9803334
17,0.98733336
18,0.99833333
19,0.99833333
20,0.9983334
21,0.99866664
22,0.99833333
23,0.99833333
24,0.99833333
25,0.99833333
26,0.99833333
27,0.99833333
28,0.99833333
29,0.99833333
30,0.99833333
31,0.99833333
32,0.99833333
33,0.99833333
34,0.99833333
35,0.99766666
36,0.99833333
37,0.99833333
38,0.99833333
39,0.99833333
40,0.99833333
41,0.99833333
42,0.99833333
43,0.99833333
44,0.99833333
