layer,p
0,0.3333334
1,0.38566667
2,0.246
3,0.32200003
4,0.358
5,0.32700002
6,0.216
7,0.25233334
8,0.25933334
9,0.2586667
10,0.3266667
11,0.44500002
12,0.39100003
13,0.40300003
14,0.40833333
15,0.6503334
16,0.66433334
17,0.8023334
18,0.8946667
19,0.94100004
20,0.93866664
21,0.93766665
22,0.97300005
23,0.95933336
24,0.95033336
25,0.95966667
26,0.938
27,0.95366675
28,0.9613334
29,0.961
30,0.96066666
31,0.95600003
32,0.9606667
33,0.938
34,0.94166666
35,0.9353334
36,0.9383334
37,0.9436667
38,0.9436667
39,0.9026667
40,0.8766667
41,0.87733334
42,0.92600006
43,0.91800004
44,0.9423334
